data,target
"b'If ever a movie needed subtitles in English, this is one. The accents and the soft conversations are great but difficult to follow because you can not understand what they say and they do not have subtitles. Their songs were simply beautiful and the story is great, but you lose a lot by not grasping what they say. But it was a most refreshing movie now. Good acting and history.'",1
"b""`` Just Married '' is a painfully cheesy movie that is almost too cheerful and tender. Ashton Kutcher and Brittany Murphy play a couple of Romeo and Juliet that has been repeated in so many movies, is disgusting: he is the classic sports fan and the son of middle-income parents, and she is the daughter of a billion whose profession we never learn Her parents would have preferred to marry her to the snob of Peter Prentice, a boring antagonist who is more of an obstacle than a real character. Anyway, the cute couple gets married and travels to Europe where their lies between them and the incredible circumstances (they are expelled from a hotel after they ruin the circuit system when trying to connect some kind of sex toy) make it difficult to enjoy of the perfect honeymoon The movie got worse with bad jokes, boring characters and clich\xc3\xa9 and egrave; stories. I think I considered laughing once. The terrible thing about this movie was how amazing everything was. Each character was able to bring out a beautiful and moving monologue from nothing. Most of the speeches did not even fit the personality of the character, for example, Kutcher's character gave at least two of these monologues, and each was one of the best parts of the script of the film. Too bad they seemed forced and uncomfortable, since it is assumed that the character is not the brightest bulb in the box. Finally, the characters were painfully underdeveloped. We do not know if Murphy's character likes to be rich or not, and we can not really discern whether she is a rich ditz or an intellectual lover of art. We never found out what Murphy's father does, and although a good and strong father-son relationship between the character of Kutcher and his father is insinuated, we never know for sure. Finally, an attractive blonde was constantly close to Murphy's character ... was she a sister? friend ? cousin ? It bothered me throughout the movie. So, why not 1 star instead of 2? Well, Murphy and Kutcher proved to be excellent actors with incredible chemistry together. Murphy especially illuminated the screen with his dazzling personality and his cute and rough voice. Kutcher will be typecast forever as the fool, but he is a character that suits him. I discovered that they were the only highlights of the movie. In the last row: this movie kept me awake. It was quick and pleasant, but something fresh or different was missing. See if you like teenage chick fliks, not if your idea of \xe2\x80\x8b\xe2\x80\x8ba movie is what will make you think.""",0
"b'I may not be able to add much to the reviews, whose compliments I totally agree with the content of this magnificent movie, but I still felt compelled to offer my two cents on the BluRay, which is equally fantastic. With the measure of the grandeur of the pure grandfather of the backdrop of this story now rightly restored in HiDef, the inherent drama of the plot now, finally, finally, has an equally valuable canvas on which it will present itself: a fact that It has been perpetually lost in every other video presentation I\'ve seen before. In fact, it is an impressive revaluation of the expected impact of this film and, from all the previous video editions, a transformation from a first level adventure, in another acceptably good way, to a first level adventure and, in Overall, an extraordinary show! I dare say it did not seem so good when I remember seeing it in my local theater so many years ago. For that matter, it looks so good, I do not think anyone can dream, since its appearance here, that this film, in fact, is approaching its 50th anniversary. From the opening credits, I see that the film was originally filmed on 70 mm, with much more detail than the more common 35 mm films. You can expect similar performance in HiDef with other movies of the 65 or 70 mm variety, such as 2001: A Space Odessy or Lawrence of Arabia - IF the disk transfer is good - and here it certainly is. The image inside the frame on this disc is always, and completely, as stable as the Rock of Gibralter. There was only the smallest amount of flicker, as seen in my configuration, but, again, only rarely and barely noticed when it was seen, I\'m still not sure if the disc was blameless or not. Not a shred of moir\xc3\xa9, nowhere. The sound is quite good and much better than I had any reason to wait. Although John Barry\'s excellent score was apparently originally in mono, it is by far the best I\'ve heard of him before; it even has a better impression than the original soundtrack (mono) available on CD, if memory serves me. However, the sound effects track on this disc is true stereo or, more likely, is derived from several isolated sound effects elements and then ""panned"" during postproduction. There are even some good extras: more than two documentaries about the making of the film, comments about the film, the theatrical trailer and even a brief, but interesting interview with John Barry himself, about the origins of his ideas for the score. But, in general, I love it when a film as majestic and monumental as this one receives the real treatment it has here. Sometimes, the presentation is everything! Highly recommended! !'",1
"b""I have been a 3D nut for many decades. I pre-ordered this from amazon and man, what disappointment! The video quality is only slightly better than the shutter 3D DVD shutter since the 90s (and at least the 3D DVD was COMPLETE SCREEN) that was made from a 3D Japanese VHD disc. Even the `` red / blue '' 3D trailer of this film (from 3D Film Expo at the Egyptian Theater here in Hollywood) was Full Screen. If you search Google for this title, you will find some websites with photographic comparisons (PAL, NTSC, DVD, Blu-ray, etc.) and you can clearly see that this 3D Blu-ray reaps the film from ALL FOUR SIDES. Only a little is cropped from the left / right, but a bit is missing from the top and bottom to create this ratio of 1.85 from Full screen. Part of the 3D perception is lost because of this, and is probably what others here have meant with certain scenes that look like `` flat '' or `` 2D ''. One of the most striking scenes is one in which Margot and Mark are talking in the living room. This wonderful photo is obviously set up for the 3D effect. Margot's hand rests on the final table in the foreground, showing that beautiful diamond ring. Guess what ? In this Blu-ray 3D release, ALL your hand is completely cut! I kept noticing these scenes cut out throughout the film ... characters cut out in the waste, covers of lampshades cut out, etc. Yes, it's great to see that the red dress looks REALLY red, but unfortunately the colors are severely oversaturated. I think I'll stop at `` House of Wax '' or `` Creature FTBL '' until they get criticism from other guinea pigs out there, ha ha! I'm sure others will agree that the black ink printed on the Blu-ray disc itself seems horrible. I've seen better labels on pirated DVDs! Anyway, just my 2 cents.""",0
"b""When I discovered that this version of Lonesome Dove is abbreviated, it made me cancel my order immediately. Every moment of the show is great; I'm not sure why anyone would want to leave out specific segments of the show.""",0
"b'This review is to point out that this version (Westlake Entertainment) of Escape from Sobibor (which is a great docudrama) is NOT the uncut version of 143 minutes as indicated in the Amazon list and is also indicated on the cover of the DVD. In fact, it is the 120 minute version offered by many other distributors. Also, the transfer in this version of Weslake is not excellent. I have the TGG / Diamond version (also 120 minutes) which is a much better transfer.'",0
"b'If you look at the fine print of this DVD, you will see that it is not approved by the Wayne Foundation. And what a note. The image quality of this DVD has all the characteristics of being a DVD recording of a VHS copy of the movie. They did not even bother using a new VHS tape: judging by the grainy texture and the annoying flaws that prevail (blinks, ""hairs"" on the screen, etc.) it was captured from an old copy of the tape. I have a VHS tape that has a better image than this DVD. Everyone PLEASE write the Wayne Foundation and tell them about the poor quality release of this movie! If we make ourselves heard, we could convince them to publish panoramic versions of Criterion quality of the less famous films of John Wayne. UPDATE: PLEASE BE AWARE! This revision DOES NOT APPLY NECESSARILY TO THE SPECIAL EDITION. Amazon is mixing all the McLintock! Check in a single bag. I do not know what the quality of the Special Edition (launched in October 2005) is, but it is not necessarily the same as in previous editions.'",0
"b'This movie is based on a true story, and I\'ve seen the original story in `` A Haunting. ""I was hoping that the film version would give me a creepy version of the original story, but all I got was bad acting, a dull story and terrible effects."" The director seemed to have an excellent idea in his head, but he could not project it. They tried too hard to make the story ""better."" As a result, the story came out as corny and exaggerated. If you want to get a better and more accurate version of the story, check the `` A Haunting \'\' version.'",0
"b""... but a terrible DVD. The sound is old Dolby Surround and the movie is in full screen. This seems very annoying to me. I've always liked Joshua Tree and I was waiting for its release on DVD. I imagined a widescreen, Dolby 5.1, trailers, comments and motion menus. But none of that happened. Artisan disappointed me SO MUCH with this poor release and lacking in imagination. I would like to start a campaign for Artisan to change his mind. To re-launch this impressive film in widescreen format. They must do this since this movie is totally rock. Even the current cover is tremendously horrible. A temperamental image of a Joshua Tree would be better. One last thing. Amazon and the back of the DVD indicate that the runtime is 102 minutes when in reality it is the unclassified version 106. This version should remain intact in the future widescreen release.""",0
"b""From time to time I have revisited this movie. Entertaining is. `` El Dorado '' has its funniest moments, James Caan goes on and on about '' riding boldly '' in a poem about El Dorado, Maudie (the love interest of John Wayne) taking the place where numerous women in Wayne 's the movies have left: `'I'm not going to cry. '' I'm going to buy a pine box, about 6 feet for you, and then the required speech about how men are fools for fighting and women are saints for bravely waiting for their men to come home, blah, blah, blah. He has a geezer companion (Arthur Honeycutt) who imitates Walter Brennen from `` Rio Bravo '', James Caan who imitates Ricky Nelson from `` Rio Bravo '' and Mitchum who imitates Dean Martin from `` Rio Bravo '' and , finally, Charlene Holt, who imitates Angie Dickinson in `` Rio Bravo ''. '' See the pattern? `` Rio Bravo '' and `` El Dorado '' are essentially the same movie. A sheriff, his partner and John Wayne, his partner and his girlfriend. Formula. However, here is a good movie. Here are elements of Wild Woolly Westerns. Christopher George plays the bad gunslinger who, however, warms up with John Wayne's Cole Thornton and SPOILER ALERT! It gets to the end. But there is a scene that is golden: George and his gang of bad men enter the bar to see the other bad guy / rancher Edward Asner. When they enter, tinkling piano tunes sound and strut. It is direct from a shooting of 1920. It is not a work of art. But it will entertain. It will grow you with the following exhibitions. John Wayne is the maximum John Wayne with his John Waynisms. Mitchum is more or less a spectator and does the movements. In general, entertaining and a poem for the Cowboy formula movies.""",1
