data,target
"b""If ever a movie required English subtitles, that's it. Accents and soft conversation are excellent but difficult to follow because you can not understand what they say and without subtitles. Her songs were just beautiful and the story is great, but much of it is lost not to catch what they say. But it was a refreshing film of most people there. Beautiful game and story.""",1
"b'""Just Married"" is a painfully cheesy film that is almost too light and cute. Ashton Kutcher and Brittany Murphy play a couple of Romeo and Juliet - esqe that has been rehearsed in so many movies, it\'s disgusting - he\'s the classic dorky sports fan and the kid of middle-income parents. whose job never teaches us. Her parents would have rather married the snob Peter Prentice, a dull antagonist who is more a roadblock than a real character. Anyway, the pretty couple gets married and flies to Europe where their lies and their incredible circumstances (they are expelled from a hotel after spoiling the circuit while trying to plug some kind of sex toy) perfect honeymoon. The film was made worse by bad jokes, boring characters and clich\xc3\xa9 & egrave; scenarios. I think I considered laughing once. The terrible thing about this movie was how amazing everything was. Each character was able to draw a magnificent and comforting monologue. Most of the speeches did not even match the personality of the character, for example, Kutcher\'s character gave at least two of these monologues, and each was one of the best parts of the film\'s script. Too bad they came out sounding inevitably and awkwardly, since the character is not supposed to be the brightest bulb in the box. Finally, the characters were painfully underdeveloped. We do not know if Murphy\'s character likes to be rich or not, and we can never really discern whether she\'s a rich girl or an art lover. We never find out what Murphy\'s father does, and although a good father-son relationship is evoked between Kutcher\'s character and his father, we never know. Finally, a pretty blonde was constantly around the character of Murphy ... was she a sister? friend? cousin? It pestered me throughout the movie. So, why not 1 star instead of 2? Well, Murphy and Kutcher have been great actors with amazing chemistry. Murphy has especially illuminated the screen with his dazzling personality and his cute and squeaky voice. Kutcher will always be considered an idiot, but he is a character that fits him well. I found them to be the only highlights of the film. It was fast and slightly pleasant, but something was missing or something different. See if you like girls, not if your idea of \xe2\x80\x8b\xe2\x80\x8ba movie is the one that will make you think.'",0
"b'I may not be able to add much to the critics, which I fully share the praise of the content of this beautiful film, but I still felt compelled to offer my two cents on BluRay, this which is just as fantastic. With the full measure of the glory of the backdrop of this story now rightly restored in HiDef, the drama inherent in the script now, finally, finally, a canvas just as worthy of being presented - a fact that has been perpetually lost on all the other video presentations I\'ve seen before. In fact, it is an impressive revaluation of the anticipated impact of this film and, from all previous editions of this video, a transformation of a first-rate adventure of acceptable magnitude to an adventure of the first order. a remarkable show! I dare say it did not sound so good when I remember seeing it in my local theater years ago. Besides, it looks so good, I do not think anyone can dream, as soon as it appears here, that this film marks its 50th anniversary. From the opening credits, I find that the film was shot at 70 mm, so with much more detail than the most common 35 mm films. You can expect similar performance in HiDef with other 65 or 70mm movies, like 2001: A Space Odessy or Lawrence of Arabia - IF disk transfer is good - and it\'s certainly the case here. The image as part of this disc is still and completely as stable as the Rock of Gibralter. There was only the slightest amount of flicker, as seen in my setup, but, again, rarely and barely noticeable when she was seen - still not sure whether the record was really to blame or no. Not a hint of moir\xc3\xa9, nowhere. The sound is rather good and much better than I could have hoped. Although John Barry \'s beautiful score was apparently originally in mono, it is by far the best I\'ve heard of - it even has a better feel than the soundtrack (mono) available on CD, if I remember is good. However, the sound effects track on this disc is either a true stereo or, more likely, derived from various isolated sound effect elements, and then ""panned"" during post-production. There are even good extras: more than two documentaries on the making of the film, a commentary on the film, the trailer and even a brief but interesting interview with John Barry himself about the origin of his ideas for the film. partition. But overall, I love it so much when a film as majestic and monumental as this one receives the royal treatment it does here. Sometimes the presentation is everything! Highly, highly recommended! !'",1
"b'I have been a 3D nut for several decades. I pre-ordered amazon and man, what a disappointment! The quality of the video is only slightly better than that of the 3D slide shutter bootleg DVD from the 90\'s (and at least the 3D DVD was FULL SCREEN), made from a 3D 3D VHD disc. Even the 3D ""red / blue"" trailer for this movie (from 3D Film Expo at the Egyptian Theater in Hollywood) was full screen. If you Google on this title, you will find some websites with photo comparisons (PAL, NTSC, DVD, Blu-ray, etc ...) and you can clearly see that this Blu-ray 3D collects the movie of ALL SIDES. Only a small number is cropped from left to right, but it lacks a bit of the top and bottom to create this ratio of 1.85 from the full screen. Part of the 3D perception is lost because of that, and that\'s probably what the others mean here by some scenes that look like ""flat"" or ""2D"". One of the most striking scenes is when Margot & Mark are chatting on the premises. This beautiful shot is obviously configured for the 3D effect. Margot\'s hand is resting on the end table in the foreground, showing this beautiful diamond ring. Guess what ? In this 3D Blu-ray version, his ENTIER hand is completely cut off! I continued to notice these cropped scenes throughout the film ... discarded characters, cut - out lampshades, and so on. Yes, it\'s great to see this red dress look really red, but unfortunately the colors are seriously oversaturated. I think I would not stick to the House of Wax or the FTBL Creature before other reviews of LOL guinea pigs arrive! I\'m sure others will agree that the black ink printed on the Blu-ray disc itself looks awful. I saw better labels on DVD bootleg! Anyway, just my 2 cents.'",0
"b'When I discovered that this version of Lonesome Dove was abbreviated, it immediately canceled my order. Every moment of the show is great; I do not know why someone would like to leave out certain segments of the series.'",0
"b""This review is intended to highlight that this version (Westlake Entertainment) of Escape from Sobibor (which is an excellent documentary) is NOT the unabridged 143-minute version listed on Amazon's list and also indicated on the cover of the DVD. In fact, this is the 120-minute version offered by many other distributors. In addition, the transfer on this version of Weslake is not great. I have the TGG / Diamond version (also 120 minutes), which is a much better transfer.""",0
"b'If you look at the fine print on this DVD, you will see that it is not approved by the Wayne Foundation. And the picture quality of this DVD has all the features of being a DVD recording of a VHS copy of the movie. They did not even bother to use a new VHS tape - judging by the grainy texture and flaws (flicker, ""hair"" on the screen, etc.) annoying, they were captured from an old copy of the tape. I have a VHS tape that has a better picture than this DVD. Do not forget to write to the Wayne Foundation and tell them about the bad publication of this movie! If we make ourselves heard, we might be able to convince them to release the higher quality Criterion versions of John Wayne\'s lesser-known films. UPDATE: PLEASE NOTE! This review does not necessarily apply to the SPECIAL EDITION. Amazon mixes all McLintock! critics in one bag. I do not know what is the quality of the special edition (released in October 2005), but it is not necessarily the same as previous editions.'",0
"b'This film is based on a true story, and I saw the original story on `` Haunting. ""I was hoping that the version of the film would give me a more frightening version of the original story, but all I got was a bad action, a dull scenario and terrible effects. It seemed that the director had a great idea in mind, but could not quite project it properly. They tried far too much to make the story better. ""As a result, the story turned out to be crazy and exaggerated. If you want to get a more accurate and precise version of the story, check out the ""A Haunting"" version.'",0
"b'... but a terrible DVD. The sound is clearly old Dolby Surround and the movie is in full screen. I find that very boring. I have always loved Joshua Tree and I was looking forward to the release of the DVD. I imagined a widescreen, Dolby 5.1, movie trailers, commentaries and animated menus. But none of this has happened. Artisan disappointed me so much with this mediocre and unimaginative outing. I would like to launch a campaign for Artisan to change his mind. To get them to reissue this awesome movie on the big screen. They have to do it because this film is totally broken down. Even the current cover is terribly awful. A dark image of a Joshua Tree would be better. One last thing. Amazon and the back of the DVD indicate that the execution time is 102 minutes whereas it is actually the unrated version 106. This version must remain intact in the future widescreen version.'",0
"b'From time to time, I reviewed this film. It\'s funny. ""El Dorado"" has his hokey moments, with James Caan continually talking about ""riding boldly"" in a poem about El Dorado, Maudie (John Wayne\'s love) picking up where Wayne\'s many women\'s movies have taken place arrested: ""I will not cry. I\'m just going to buy a pine box, about 6 feet for you ""and then the required speech on how stupid men are to fight and the women are healthy for looking forward to seeing their men come home, blah , blah blah He has a geezer sidekick (Arthur Honeycutt) who imitates Walter Brennen from Rio Bravo, James Caan who imitates Ricky Nelson from Rio Bravo and Mitchum who imitates Dean Martin from Rio Bravo and finally, Charlene Holt, who imitates Angie Dickinson in Rio Bravo. \'\' See the model? ""Rio Bravo"" and ""El Dorado"" are essentially the same movie. A sheriff, his sidekick and John Wayne, his sidekick and his girlfriend. Formulaic. However, there is a good movie here. There are elements of Wild Woolly Westerns here. Christopher George plays the nasty Gunslinger who nonetheless warms up at Cole Coleton\'s John Wayne and SPOILER ALERT! it ends well.But there is a scene that is golden: George and his gang of bad guys enter the bar to see the other villain / breeder Edward Asner.When they come in, DIY piano plays and they swagger in. It is straight out of a shoot of 1920. It is not a work of art. But it will entertain. John Wayne is the ultimate John Wayne with his John Waynisms. Mitchum is rather a spectator and reviews the movements. In all, entertaining and a poem to the formula of Cowboy movies.'",1
