data,target
"b'If ever a film needs subtitles in English, this is one. Accents and soft speaking are fantastic but difficult to follow because you can not understand what they are saying and without subtitles. His songs were simply beautiful and the story is great, but many things are lost in not understanding what they are saying. But it was a refreshing film from most out there now. Beautiful acting and history.'",1
"b""`` Just Married '' is a painfully mischievous film that is almost too lighthearted and cute. Ashton Kutcher and Brittany Murphy play a couple Romeo and Juliet-esqe that has been repeated in so many films, it's sickening - he's the classic crazy sportsman and son of middle-income parents, and is the daughter of some billionaire whose profession is not we never learn. His parents would have preferred to marry her with the snobby Peter Prentice, a dull antagonist who is more of an obstacle than a real character. However, the beautiful couple gets married and makes a trip to Europe, where their lies meet and the incredible circumstances (they are driven out of a hotel after having ruined the circuit system trying to connect a kind of sex toy) hinder their perfect honeymoon fun. The film was aggravated by bad jokes, boring characters and clich\xc3\xa9 was plot I think I thought to laugh once. The terrible thing about this film was how amazing it was all. Each character was able to extract a beautiful and moving monologue from scratch. Most of the speeches did not even fit the personality of the character, for example, Kutcher's character gave at least two of these monologues, and each was one of the best parts of the film's script. Too bad they came out playing hard and awkward, since the character should not be the brightest light in the box. In the end, the characters were painfully underdeveloped. We do not know if Murphy's character likes to be rich, nor can we ever really discern whether he is a rich girl or an intellectual who loves art. We never find out what Murphy's father does, and although a good, strong father-son relationship is mentioned between the character of Kutcher and his father, we never know for sure. In the end, an attractive blonde was constantly around Murphy's character ... was she a sister? friend ? cousin? He tormented me throughout the film. So, why not 1 star instead of 2? Well, Murphy and Kutcher proved to be excellent actors with fantastic chemistry together. Murphy in particular illuminated the screen with his dazzling personality and his cute and scratchy voice. Kutcher will always be typed like a dumb, but he's a good character. I found them the only highlights of the film. Bottom line: this film kept me awake. It was quick and slightly pleasant, but nothing new or different was missing. See if you like teenage chicks, not if your idea of \xe2\x80\x8b\xe2\x80\x8ba movie is what makes you think.""",0
"b'I may not be able to add much to the reviews, whose praises agree with all the content of this great movie, but I still felt obliged to offer my two cents on the BluRay, which is just as fantastic. With the full measure of the glory of the pure Granduer of the background for this story now properly restored in HiDef, the intrinsic drama of the plot now finally finally has an equally worthy canvas on which to be presented - one fact perpetually lost on each another video presentation I\'ve seen before. It is actually a deep appreciation of the expected impact of this film and, from any and all previous video editions of it, in fact a transformation from a first-quality adventure of otherwise acceptable scale to an adventure of first class and overall a remarkable show! I would dare to say that it did not seem so nice when I remember seeing it in my local theater many years ago. Besides, it seems so beautiful, I do not think anyone can dream, from its appearance here, that this film is actually approaching its 50th anniversary. From the opening credits, I see that the film was originally shot in 70 mm, so with much more detail than the most common 35 mm film. You can expect similar performances in HiDef with other films of the 65 or 70mm variety, like 2001: A Space Odessy or Lawrence of Arabia - IF the record transfer is good - and it certainly is. The image inside the frame of this record is always, and absolutely, stable like the Rock of Gibralter. There was only the minimum amount of flicker, as seen on my setup, but again, only rarely and hardly noticeable when it was viewed - I\'m still not sure if the disk was actually to blame or not. Not a pinch of moir\xc3\xa9, anywhere. The sound is quite good and far better than I had any reason to hope for. Although the soundtrack of John Barry was apparently originally in mono, it is by far the best I\'ve ever heard before - it also has a better impression of the original soundtrack (mono) available on CD, if memory serves. Still, the sound effects track on this record is either true stereo, or, more likely, it was derived from various elements of isolated sound effects and then ""reworked"" during post production. There are also some nice extras: more than two documentaries on the making of the film, the film\'s commentary, the theatrical trailer and also a short but interesting interview with John Barry about the origins of his ideas for the soundtrack. But all in all, I like it so much when such a majestic and monumental film like this gets the royal treatment it does here. Sometimes, presentation is everything! Highly, highly recommended! !'",1
"b'I\'ve been a 3D dice for many decades. I pre-ordered this from Amazon and the man, what a disappointment! The video quality is only slightly better than the bootleg 3D DVD with rear shutter in the 90s (and at least the 3D DVD was FULL SCREEN) that was made from a Japanese 3D VHD disc. Even the ""red / blue"" 3D trailer for this film (from the 3D Film Expo to the Egyptian Theater here in Hollywood) has been in full screen. If you are on Google this title, you will find some websites with comparison photos (PAL, NTSC, DVD, Blu-ray, etc ...) and you can clearly see that this Blu-ray 3D clips the film from ALL FOUR LATI. Only a little bit is cut from left / right, but it lacks a bit from above and below to create this 1.85 full screen report. Because of this, some of the three-dimensional perceptions are lost, and it\'s probably what others here have meant for some scenes that look ""flat"" or ""2D"". One of the most striking scenes is that in which Margot and Mark are talking in the livigea. This wonderful shot is obviously set for the 3D effect. Margot\'s hand is resting on the table in the foreground, showing that beautiful diamond ring. Guess what ? In this Blu-ray 3D version, its ENTIRE hand is completely cut! I continued to notice these scenes cut out during the film ... characters cut into pieces, tops of cut lampshades, etc. Yes, it\'s nice to see that red dress that looks REALLY red, but unfortunately the colors are severely saturated. I think I\'ll keep on ""House of Wax"" or ""Creatures FTBL"" until the reviews come from other guinea pigs LOL! I\'m sure others will agree that the black ink printed on the Blu-ray disc is horrible. I\'ve seen better labels on bootleg DVDs! Anyway, only my 2 cents.'",0
"b""When I found out that this version of Lonesome Dove is abbreviated it made me cancel my order immediately. Every moment of the show is great; I'm not sure why someone would want to exclude specific segments of the show.""",0
"b""This review notes that this version (Westlake Entertainment) by Escape from Sobibor (which is a great docudram) is NOT the 143 minute uncut version as indicated on the Amazon list and is also indicated on the DVD cover. Actually, it's the 120-minute version offered by many other distributors. Also, the transfer on this version of Weslake is not exceptional. I have the TGG / Diamond version (even 120 minutes) which is a much better transfer.""",0
"b'If you look at the fine print on this DVD, you will see that it is not approved by the Wayne Foundation. And the boy proves it. The image quality of this DVD has all the characteristics of being a DVD recording of a VHS copy of the film. They did not even bother to use a new VHS tape - judging by the grainy consistency and annoyingly widespread flaws (flicker, ""hair"" on the screen, etc.). It was captured by an old copy of the tape. I have a VHS tape that has a better image of this DVD. Everyone is writing the Wayne Foundation and telling about the unfortunate version of this film! If we make ourselves heard, we might be able to convince them to publish widescreen, quality Criterion versions of John Wayne\'s less famous films. UPDATE: PLEASE! This review DOES NOT APPLY NECESSARILY TO THE SPECIAL EDITION. Amazon is mixing all the McLintock! reviews in a bag. I do not know the quality of the Special Edition (published in October 2005), but it is not necessarily the same as the previous editions.'",0
"b'This film is based on a true story, and I saw the original story on ""A Haunting."" I was hoping the movie version would give me a more creepy version of the original story, but all I got was bad acting, a lackluster plot and terrible effects. It seemed that the director had an excellent idea in his head, but he could not project it correctly. They tried too hard to make the story ""better"". \'\' As a result, the story came out as cheese and over the top. If you want to get a better and more accurate version of the story, check out the ""A Haunting"" version.'",0
"b'... but a terrible DVD. The sound is simply old Dolby Surround and the movie is full screen. I find it very annoying. I have always appreciated Joshua Tree and I can not wait for it to be released. I imagined widescreen, Dolby 5.1, trailer, animated comments and menus. But none of this has ever happened. The craftsman disappointed me a lot with this poor and unimaginative version. I would like to start a campaign to change the idea of \xe2\x80\x8b\xe2\x80\x8bthe artisans. To convince them to republish this fantastic film in widescreen format. They have to do it while this film is totally rock. Even the current cover is painfully horrible. A moody image of a Joshua tree would have been better. One last thing. Amazon and the back of the DVD indicate that run time is 102 minutes when it is actually version 106 without rating. This version must remain intact in the future widescreen version.'",0
"b'From time to time I revisited this film. Entertaining it is. `` El Dorado \'\' has his hockey moments, James Caan goes on and on to ""ride bravely"" in a poem on El Dorado, Maudie (John Wayne\'s love interest), where many of Wayne\'s women are filmed they are interrupted: ""I\'m not going to cry, I\'ll buy a pine box, about 6 feet for you"" and then the necessary talk about how men are stupid for the fighting and the women are hurriedly waiting for their men to come home , blah, blah blah He has a fellow geezer (Arthur Honeycutt) who imitates Walter Brennen from ""Rio Bravo"", James Caan who imitates Ricky Nelson from ""Rio Bravo"" and Mitchum who imitates Dean Martin from ""Rio Bravo"" and, finally, Charlene Holt, who imitates Angie Dickinson in ""Rio Bravo"". \'\' See the scheme? ""Rio Bravo"" and ""El Dorado"" are essentially the same film. A sheriff, his aide and John Wayne, his aide and his girlfriend. Formula. Nonetheless, here\'s a good movie. There are elements of Wild Woolly Western here. Christopher George plays the bad gunman who still warms up with Cole Thornton and John Wayne\'s SPOILER ALERT! But there is a scene that is golden: George and his gang of bad men walk into the bar to see the other bad boy / breeder Edward Asner. As they enter, tinkling piano music plays and moves. He came out of a 1920s-era shoot. It is not a work of art. But it will entertain. It will grow up on you with the subsequent presentations. John Wayne is the last John Wayne with his John Waynisms. Mitchum is practically a spectator and goes through the movements. All in all, fun and a poem for Cowboy formula movies.'",1
