data,target
"b""If ever a movie needed English subtitles, this is one of them. Soft accents and conversations are great, but difficult to follow, since you do not understand what they are saying and without captions. Her songs were beautiful and the story is great, but a lot is lost because I do not understand what they're saying. But it was a most refreshing movie out there now. Good acting and history.""",1
"b""`` Just Married '' is a painfully extravagant movie that is almost very light and cute. Ashton Kutcher and Brittany Murphy play a couple of Romeo and Juliet that has been repeated in so many films, it's revolting - he's the classic sports fan and the son of middle-income parents, and she's the daughter of a few billionaires. whose profession we never learned. Her parents preferred to marry her with the snobby Peter Prentice, a boring antagonist who is more of a hindrance than a real character. Anyway, the cute couple get married and travel to Europe, where their lies and unbelievable circumstances (they are expelled from a hotel after they spoil the circuitry trying to connect some kind of sex toy) hinder their fun. perfect honeymoon. The film was compounded by bad jokes, boring characters and clich & egrave; stories. I think I thought I'd laugh once. The terrible thing about this movie was how everything was unbelievable. Each character was able to pull a beautiful and comforting monologue from the air. Most of the speeches did not even fit the personality of the character, for example, Kutcher's character gave at least two of these monologues, and each one was one of the best parts of the script. Too bad they came out sounding awkward and clumsy, since the character was not supposed to be the brightest lamp in the box. Finally, the characters were painfully underdeveloped. We do not know whether Murphy's character likes to be rich or not, nor can we really discern whether she's a rich girl or an art-loving intellectual. We never find out what Murphy's father does, and although a good, strong relationship between father and son is suggested between Kutcher's character and his father, we never know for sure. Finally, an attractive blonde was constantly around the character of Murphy ... she was a sister? friends ? cousin ? That bothered me throughout the movie. So why not a star instead of two? Well, Murphy and Kutcher proved to be excellent actors with amazing chemistry together. Murphy especially brightened up the screen with his dazzling personality and soft, scratchy voice. Kutcher will forever be typified as the dumb face, but it's a character that matches well with him. I found them to be the only highlights of the movie. Bottom line: This movie kept me awake. It was quick and moderately pleasant, but something new or different was missing. See if you like fliks teen chick, not if your idea of \xe2\x80\x8b\xe2\x80\x8ba movie is one that will keep you thinking.""",0
"b'I may not be able to add much to the comments, whose compliments I entirely agree with the content of this magnificent film, but I still felt compelled to offer my two cents on BluRay, which is equally fantastic. With the full measure of the glorious winner of the background of this now legitimately restored story in HiDef, the plot\'s inherent drama finally finally finally has a screen equally worthy of being presented - a fact Perpetually lost in every other presentation of video I\'ve seen before. It\'s actually an awe-inspiring revaluation as to the intended impact of this movie and, from any and all previous video issues of it, in fact a transformation from a first-class adventure of acceptably good scale to a first-class and global adventure. a remarkable spectacle! I daresay I do not approach myself looking so good when I remember seeing him at my local theater all those years ago. By the way, it looks so good, I do not think anybody would dream, with their appearance here, that this movie is actually wrapping its 50th anniversary. Of the opening credits, I see that the film was originally filmed in 70mm, so in much more detail than the most common 35mm films have. You can expect a similar performance on HiDef with other 65 or 70mm films, like 2001: A Space Odessy or Lawrence of Arabia - IF the disc transfer is good - and here it certainly is. The image inside the frame on this disc is always, and absolutely, as firm as the Rock of Gibralter. There was only the slightest amount of jitter, as seen in my setup, but again only rarely and almost imperceptibly when it was seen - still not sure if the disc was actually at fault or not. Not a hint of moir\xc3\xa9, anywhere. The sound is very good and much better than I had any reason to wait. Although John Barry\'s great soundtrack originally appeared in mono, it\'s by far the best I\'ve heard of it - it even has a better impression than the original (mono) soundtrack available on CD if my memory serves. However, the range of sound effects on this disc is either real stereo or, more likely, derived from various elements of isolated sound effects and then ""panned"" during post-production. There are also some interesting extras: more than two documentaries about the film\'s production, movie reviews, theatrical trailer and even a brief but interesting interview with John Barry himself about the origins of his ideas for the soundtrack. But, after all, I love it when such a majestic and monumental film like this gets the real treatment it does here. Sometimes the presentation is everything! Highly recommended! !'",1
"b'I\'ve been a 3D nut for many decades. I pre-ordered this from amazon and man, what a disappointment! The quality of the video is just slightly better than the 3D bootleg of the 90\'s shutterglass (and at least the 3D DVD was FULL SCREEN) that was made from a Japanese VHD 3D disk. Even the 3D ""red / blue"" trailer for this movie (from the 3D Film Expo at the Egyptian Theater here in Hollywood) was full-screen. If you use Google in this title, you will find some sites with photo comparisons (PAL, NTSC, DVD, Blu-ray, etc ...) and you can clearly see that this 3D Blu-ray cuts the movie from ALL FOUR SIDES. Just a little bit is cut from the left / right, but it lacks a bit of the top and bottom to create that ratio of 1.85 in full screen. Part of 3D perception is lost because of this, and it\'s probably what others here meant with certain scenes looking like `` flat \'\' or `` 2D \'\'. One of the most remarkable scenes is the one in which Margot and Mark are talking in the livigroom. This wonderful photo is obviously set to 3D effect. Margot\'s hand rests on the final table in the extreme foreground, displaying that beautiful diamond ring. Guess what ? In this Blu-ray 3D version, your ENTIRE hand is completely cut! I watched these cut scenes throughout the movie ... characters cut through the trash, bits of cut-out lamps, etc. Yes, it\'s great to see that red dress look really red, but unfortunately the colors are severely overrated. I think I\'ll grab hold of `` House of Wax \'\' or `` Creature FTBL \'\' until criticism comes from other guinea pigs out there, LOL! I\'m sure others will agree that the black ink printed on the Blu-ray disc itself looks awful. I\'ve seen better labels on pirated DVDs! Anyway, just my 2 cents.'",0
"b""When I discovered that this version of Lonesome Dove was summarized, it made me immediately cancel my request. Every moment of the show is great; I'm not sure why anyone would want to leave out specific segments of the show.""",0
"b""This review is to emphasize that this version (Westlake Entertainment) of Escape from Sobibor (which is a great docudrama) is not the 143-minute uncut version as indicated in the Amazon listing and also indicated on the cover of the DVD. In fact, it's the 120-minute version offered by many other distributors. Also, the download on this version of Weslake is not good. I have the TGG / Diamond version (also 120 minutes) which is a much better transfer.""",0
"b'If you look closely at the fine print of this DVD, you will see that it is not approved by the Wayne Foundation. And the boy shows it. The picture quality of this DVD has all the signs of being a DVD recording of a VHS copy of the movie. They did not even bother to use a new VHS tape - judging by the grainy texture and annoying glitches (flickering, ""hair"" on the screen, etc.), it was captured from an old copy of the tape. I have a VHS tape that has a better picture than this DVD. Everyone please write to the Wayne Foundation and tell them about the poor quality release of this movie! If we do, we\'ll be able to convince them to release widescreen, quality releases from Criterion from John Wayne\'s less famous films.UPDATE: OBSERVE! This comment DOES NOT APPLY NECESSARILY TO THE SPECIAL EDITION. Amazon is mixing all McLintock! comments in a bag. I do not know what the quality of the special edition (released in October 2005) is, but it is not necessarily the same as the previous editions.'",0
"b'This movie is based on a true story, and I saw the original story of ""A Haunting"". ""I was hoping the movie version would give me a more frightening version of the original story, but all I got was a bad acting, a dull plot and terrible effects. It seemed the director had a great idea in his head, but he could not project it properly. They have tried a lot to make the story ""better"". ""As a result, the story came out as tacky and over. If you want to get a better and more accurate version of the story, check out the ""A Haunting"" version.'",0
"b'... but a terrible DVD. The sound is simply old Dolby Surround and the movie is full screen. I find this very annoying. I always liked Joshua Tree and waited for the DVD release. I imagined widescreen, Dolby 5.1, trailers, comments and motion menus. But none of this happened. Artisan disappointed me so much with this poor and unimaginative release. I would like to start a campaign to get Artisan to change his mind. To get them to relaunch this amazing movie into widescreen. They should do this like this movie totally rocks. Even the current cover is painfully horrible. A grumpy photo of a Joshua Tree would be better. One last thing. Amazon and the back of the DVD claim that the runtime is 102 minutes when it is actually the unrated version 106. This version should remain intact in future widescreen release.'",0
"b'From time to time I revisited this movie. It\'s fun. ""El Dorado"" has its exaggerated moments, with James Caan talking about ""walking boldly"" in a poem about El Dorado, Maudie (John Wayne\'s love interest), where several Wayne women\'s films stopped: ""I will not cry . I\'ll just buy a pine box, about 6 feet for you, \'and then the necessary speech about how men are dumb to fight and women are pious for waiting valiantly for their men to come home, blah blah blah He has a helper (Arthur Honeycutt) who imitates Walter Brennen of ""Rio Bravo"", James Caan who imitates Ricky Nelson of ""Rio Bravo"" and Mitchum who imitates Dean Martin of ""Rio Bravo"" and finally Charlene Holt, who imitates Angie Dickinson in ""Rio Bravo"". \'\' See the pattern? `` Rio Bravo \'\' and `` El Dorado \'\' are essentially the same film. A sheriff, his assistant and John Wayne, his assistant and his girlfriend. Still, there is a good movie here. There are elements of Wild Woolly Westerns here. Christopher George plays the evil gunslinger who nevertheless heats up with Cole Thornton and John Wayne\'s SPOILER ALERT! In the end, there\'s a scene that is gold: George and his gang of bad men walk into the bar to see the other villain / farmer Edward Asner. When they enter, they play piano music and arrogate. It\'s straight from a shoot-em-1920. It is not a work of art. But it will entertain. It will grow in you with subsequent presentations. John Wayne is the last John Wayne with his John Waynisms. Mitchum is practically a spectator and goes through the motions. All in all, fun and a poem for movies of Formula Cowboy.'",1
