id,id_equipo,id_tanque,fecha,hora,volumen,temperatura,codigo,baja,vbat1,vbat2,fuel_level_dmm,water_level_dmm,water_volume_lts,tank_site_id
33,385,875,2018-08-06,15:22:05,0000222.840,15.1,N1,0,060,291,00000778,00000000,0000.000,1
3060,439,1095,2018-08-08,17:50:42,0032942.052,13.5,N1,0,060,308,00019854,00000000,0000.000,1
3061,439,1095,2018-08-08,17:50:42,0032942.052,13.5,V1,0,060,308,00019854,00000000,0000.000,1
14668,452,1044,2018-08-08,17:51:26,0005276.250,17.6,V1,0,061,295,00004925,00000000,0000.000,1
17515,365,770,2018-08-08,18:02:14,0052424.925,5.0,N1,0,067,364,00004575,00000000,0000.000,2
17516,365,771,2018-08-08,18:02:33,0091199.780,4.0,N1,0,066,362,00007795,00000000,0000.000,3
25188,480,1022,2018-08-08,21:02:27,0021480.200,16.4,N1,0,060,300,00014586,00000000,0006.000,1
24170,482,1026,2018-08-09,00:01:48,0021420.456,11.9,N1,0,060,302,00011272,00000000,0000.000,1
25870,227,566,2018-08-08,23:45:58,0014040.832,10.3,N1,0,060,281,00009492,00000000,00000000,1
198051,143,152,2018-08-09,00:00:00,0008779.320,15.5,N1,0,060,221,00009141,00000000,00000000,3
198052,143,151,2018-08-09,00:00:00,0004282.900,16.2,N1,0,060,221,00004968,00000000,00000000,4
198053,143,153,2018-08-09,00:00:00,0000633.790,15.9,N1,0,060,221,00001081,00000000,00000000,5
198054,143,154,2018-08-09,00:00:00,0008807.380,15.6,N1,0,060,221,00009333,00000000,00000000,6
198055,143,155,2018-08-09,00:00:00,0000496.640,17.3,N1,0,060,221,00000413,00000000,00000000,7
198056,143,146,2018-08-09,00:00:00,0000823.950,17.0,N1,0,060,221,00001006,00000000,00000000,1
198057,143,147,2018-08-09,00:00:00,0005612.270,15.7,N1,0,060,221,00006715,00000000,00000000,2
61629,159,189,2018-08-09,00:02:40,0004005.040,18.4,N1,0,061,293,00005522,00000000,0000.000,4
38869,421,933,2018-08-09,00:11:06,0001355.216,16.4,N2,0,060,293,00007702,00000016,0003.536,1
10132,501,1087,2018-08-08,23:32:39,0011628.000,14.3,F1,0,061,296,00011628,00000000,0000.000,1
21932,479,1027,2018-08-09,00:01:12,0025051.723,9.0,N1,0,067,285,00001688,00000000,0000.000,1
21933,479,1029,2018-08-09,00:01:24,0000255.834,8.7,N1,0,061,299,00000699,00000000,0000.000,3
74985,374,874,2018-08-09,00:00:00,0013321.500,10.2,N1,0,061,287,00010599,00000000,00000000,2
74986,374,873,2018-08-09,00:00:00,0000000.988,5.8,N0,0,061,283,00000000,00000000,00000000,1
109706,477,1011,2018-08-09,00:09:56,0007404.000,16.4,V1,0,060,290,00008425,00000000,0000.000,2
130357,429,986,2018-08-09,00:13:57,0005356.300,19.3,V1,0,060,291,00007072,00000000,0000.000,1
3996,484,1037,2018-08-09,00:02:32,0003172.620,6.0,N1,0,060,268,00003677,00000000,0000.000,1
18328,434,982,2018-08-09,00:02:34,0022872.410,2.8,N1,0,061,292,00017191,00000000,0000.000,1
10285,430,964,2018-08-09,00:00:50,0035712.588,14.6,N1,0,060,292,00017741,00000000,0000.000,1
30760,431,963,2018-08-09,00:01:19,0034493.903,16.9,N1,0,060,292,00020811,00000000,0000.000,1
33645,455,973,2018-08-09,00:01:19,0022771.460,16.4,N1,0,060,291,00015351,00000000,0000.000,4
324144,407,925,2018-08-09,00:11:56,0007750.494,11.3,T1,0,061,286,00019779,00000000,00000000,3
457723,248,422,2018-08-09,00:08:08,0006203.250,13.4,V1,0,025,285,00008631,00000000,00000000,1
21441,481,1025,2018-08-09,00:00:52,0030570.633,12.0,N1,0,060,302,00015011,00000000,0000.000,1
236832,357,763,2018-08-09,00:00:00,0014290.680,12.8,N1,0,060,348,00013369,00000000,00000000,1
236833,357,764,2018-08-09,00:00:00,0012421.840,12.3,N1,0,060,351,00012055,00000000,00000000,2
236834,357,765,2018-08-09,00:00:00,0017099.260,13.0,N1,0,060,348,00016042,00000000,00000000,3
236835,357,766,2018-08-09,00:00:00,0015624.780,13.2,N1,0,060,308,00014822,00000000,00000000,4
236836,357,767,2018-08-09,00:00:00,0012224.420,13.6,N1,0,061,347,00011767,00000000,00000000,5
236837,357,768,2018-08-09,00:00:00,0011312.080,14.0,N1,0,060,336,00011060,00000000,00000000,6
236838,357,765,2018-08-09,00:00:24,0017095.020,13.0,V1,0,060,347,00016038,00000000,00000000,3
